case_id,age,monthly_income,work_years,existing_debt,overdue_count,asset_proof_count,amount,term_months,purpose,debt_income_ratio,ground_truth_risk
CASE_0324,28,4924.07,2,10104.2,0,3,2659,18,furniture equipment,0.171,LOW
CASE_0325,36,1903.7,2,7812.8,2,2,1028,18,new car,0.342,LOW
CASE_0326,39,7281.43,5,14611.4,2,2,3398,8,new car,0.1672,LOW
CASE_0327,49,9668.33,8,15662.7,2,3,5801,12,furniture equipment,0.135,LOW
CASE_0328,34,2118.06,5,5795.0,0,3,1525,24,new car,0.228,LOW
CASE_0329,31,4141.67,8,16997.4,0,1,4473,36,radio television,0.342,LOW
CASE_0330,28,5933.33,8,4058.4,0,1,1068,6,radio television,0.057,LOW
CASE_0331,75,5512.5,0,35721.0,2,0,6615,24,used car,0.54,LOW
CASE_0332,30,3451.85,2,14166.4,2,3,1864,18,education,0.342,HIGH
CASE_0333,24,4115.56,0.5,28150.4,0,3,7408,60,new car,0.57,HIGH
CASE_0334,24,4829.17,2,62586.0,2,2,11590,48,used car,1.08,HIGH
CASE_0335,23,4670.45,8,26715.0,0,0,4110,24,furniture equipment,0.4767,HIGH
CASE_0336,44,9668.57,2,7275.6,2,2,3384,6,furniture equipment,0.0627,HIGH
CASE_0337,23,3232.31,0.5,5672.7,0,2,2101,13,radio television,0.1462,LOW
CASE_0338,24,2833.33,2,4845.0,0,2,1275,15,domestic appliances,0.1425,HIGH
CASE_0339,28,5790.28,2,15842.2,0,2,4169,24,furniture equipment,0.228,LOW
CASE_0340,31,5070.0,2,5779.8,0,1,1521,10,furniture equipment,0.095,LOW
CASE_0341,24,4785.83,0.5,31012.2,2,0,5743,24,education,0.54,LOW
CASE_0342,26,2937.96,5,7737.85,0,1,3599,21,furniture equipment,0.2195,LOW
CASE_0343,25,3060.0,0.5,6907.95,0,3,3213,18,radio television,0.1881,LOW
CASE_0344,33,4227.62,8,9543.85,0,2,4439,18,business,0.1881,LOW
CASE_0345,37,6769.71,0.5,8490.35,0,2,3949,10,new car,0.1045,LOW
CASE_0346,43,3242.22,2,5544.2,2,1,1459,15,radio television,0.1425,LOW
CASE_0347,23,2261.54,0.5,6703.2,2,2,882,13,radio television,0.247,LOW
CASE_0348,23,2684.29,0,8079.7,0,1,3758,24,radio television,0.2508,LOW
CASE_0349,34,4980.0,2,7494.9,1,3,1743,6,business,0.1254,LOW
CASE_0350,32,4207.41,8,8633.6,2,2,1136,9,education,0.171,HIGH
CASE_0351,23,2354.29,0.5,2657.4,0,2,1236,9,domestic appliances,0.0941,LOW
CASE_0352,29,1826.67,2,2061.85,0,1,959,9,furniture equipment,0.0941,HIGH
CASE_0353,38,3587.78,0,8718.3,2,1,3229,18,used car,0.2025,LOW
CASE_0354,28,17219.44,2,47112.4,0,2,6199,12,radio television,0.228,HIGH
CASE_0355,46,2423.33,8,2762.6,0,1,727,10,education,0.095,LOW
CASE_0356,23,1800.0,0.5,4734.8,0,2,1246,24,new car,0.2192,HIGH
CASE_0357,49,3330.0,8,5011.65,2,3,2331,12,radio television,0.1254,LOW
CASE_0358,26,4132.41,2,33918.8,1,1,4463,36,radio television,0.684,HIGH
CASE_0359,28,2155.56,2,2948.8,0,2,776,12,radio television,0.114,LOW
CASE_0360,23,2673.33,5,9142.8,0,2,2406,30,furniture equipment,0.285,HIGH
CASE_0361,61,2294.44,2,4708.2,0,1,1239,18,education,0.171,LOW
CASE_0362,37,5665.0,8,9177.3,0,2,3399,12,radio television,0.135,LOW
CASE_0363,36,3745.0,2,12133.8,1,1,2247,12,new car,0.27,LOW
CASE_0364,21,5045.71,2,3796.9,0,2,1766,6,furniture equipment,0.0627,LOW
CASE_0365,25,4579.63,0,9397.4,0,1,2473,18,furniture equipment,0.171,HIGH
CASE_0366,36,2570.0,5,4163.4,0,1,1542,12,business,0.135,LOW
CASE_0367,27,5833.33,5,25025.0,2,1,3850,18,used car,0.3575,LOW
CASE_0368,22,3476.19,0.5,7847.5,0,1,3650,18,furniture equipment,0.1881,LOW
CASE_0369,42,3190.74,8,13094.8,0,1,3446,36,furniture equipment,0.342,HIGH
CASE_0370,40,3334.44,5,8102.7,0,2,3001,18,furniture equipment,0.2025,LOW
CASE_0371,36,2850.93,2,11700.2,0,3,3079,36,new car,0.342,LOW
CASE_0372,33,9196.97,8,39455.0,2,1,6070,18,radio television,0.3575,LOW
CASE_0373,23,3678.86,0.5,9227.8,2,2,2146,10,furniture equipment,0.209,LOW
CASE_0374,63,4585.33,8,37141.2,2,1,13756,60,new car,0.675,LOW
CASE_0375,60,6719.09,8,96083.0,0,1,14782,60,others,1.1917,HIGH
CASE_0376,37,3202.08,5,20749.5,0,1,7685,48,business,0.54,HIGH
CASE_0377,34,2577.78,0,12528.0,1,2,2320,18,radio television,0.405,LOW
CASE_0378,36,3296.1,8,2749.5,1,1,846,7,radio television,0.0695,LOW
CASE_0379,57,13257.41,8,54408.4,0,0,14318,36,new car,0.342,HIGH
CASE_0380,52,2011.11,2,2751.2,2,2,362,6,new car,0.114,LOW
CASE_0381,39,3686.67,5,8405.6,0,2,2212,20,furniture equipment,0.19,LOW
CASE_0382,38,19660.61,0,42172.0,0,0,12976,18,used car,0.1787,HIGH
CASE_0383,25,1943.94,5,4875.4,0,3,1283,22,new car,0.209,LOW
CASE_0384,26,3694.44,0.5,5054.0,0,2,1330,12,new car,0.114,LOW
CASE_0385,26,2848.0,2,23068.8,1,3,4272,30,business,0.675,LOW
CASE_0386,25,2486.67,2,12085.2,2,1,2238,18,radio television,0.405,LOW
CASE_0387,21,2085.19,0.5,4278.8,0,3,1126,18,radio television,0.171,LOW
CASE_0388,40,13655.56,0,56042.4,2,2,7374,18,furniture equipment,0.342,LOW
CASE_0389,27,3101.33,2,6280.2,2,2,2326,15,business,0.1688,LOW
CASE_0390,27,4390.91,5,9418.5,0,1,1449,9,business,0.1787,LOW
CASE_0391,30,2022.22,2,4914.0,0,2,1820,18,new car,0.2025,LOW
CASE_0392,19,1800.0,0.5,2113.45,0,4,983,12,furniture equipment,0.0978,LOW
CASE_0393,39,1805.0,5,8772.3,0,0,3249,36,new car,0.405,LOW
CASE_0394,31,5591.43,5,4207.55,2,1,1957,6,radio television,0.0627,LOW
CASE_0395,31,5346.67,0,6496.2,2,1,2406,9,furniture equipment,0.1012,LOW
CASE_0396,32,6030.77,5,31752.0,1,1,11760,39,education,0.4387,LOW
CASE_0397,55,5859.09,0,8378.5,0,0,2578,12,furniture equipment,0.1192,LOW
CASE_0398,46,1800.0,2,15262.0,2,2,2348,36,furniture equipment,0.7066,LOW
CASE_0399,46,1800.0,8,5258.9,0,2,1223,12,new car,0.2435,HIGH
CASE_0400,43,2105.56,2,11521.6,2,4,1516,24,radio television,0.456,LOW
CASE_0401,39,2231.82,0.5,4787.25,0,2,1473,18,radio television,0.1787,LOW
CASE_0402,28,3494.44,2,14341.2,2,3,1887,18,business,0.342,LOW
CASE_0403,27,7206.67,0.5,46699.2,1,1,8648,24,business,0.54,HIGH
CASE_0404,27,1909.52,2,6095.2,1,1,802,14,new car,0.266,LOW
CASE_0405,43,5368.52,8,11016.2,1,2,2899,18,new car,0.171,LOW
CASE_0406,22,1800.0,0.5,4383.85,0,2,2039,24,radio television,0.203,HIGH
CASE_0407,43,3051.39,5,16697.2,2,2,2197,24,used car,0.456,LOW
CASE_0408,27,2340.0,0.5,4001.4,0,2,1053,15,radio television,0.1425,LOW
CASE_0409,26,3676.14,8,10513.75,0,2,3235,24,radio television,0.2383,LOW
CASE_0410,28,2608.33,5,10704.6,2,3,939,12,new car,0.342,HIGH
CASE_0411,20,2731.94,8,7474.6,0,1,1967,24,radio television,0.228,LOW
CASE_0412,35,5994.21,5,47144.5,2,1,7253,33,used car,0.6554,LOW
CASE_0413,42,6366.67,0,17419.2,2,1,2292,12,business,0.228,HIGH
CASE_0414,40,4355.45,2,5190.25,0,1,1597,10,new car,0.0993,LOW
CASE_0415,35,1918.06,2,5247.8,0,3,1381,24,new car,0.228,HIGH
CASE_0416,35,3245.56,8,31546.8,2,2,5842,36,used car,0.81,LOW
CASE_0417,33,7163.89,0.5,9800.2,0,2,2579,12,new car,0.114,HIGH
CASE_0418,23,8067.62,2,36425.3,1,2,8471,18,education,0.3762,LOW
CASE_0419,31,2271.02,5,5981.3,0,2,2782,21,new car,0.2195,LOW
CASE_0420,33,1929.63,2,3959.6,0,3,1042,18,new car,0.171,HIGH
CASE_0421,20,4248.0,5,8602.2,0,3,3186,15,new car,0.1688,LOW
CASE_0422,30,5633.33,2,7706.4,0,2,2028,12,used car,0.114,LOW
CASE_0423,47,1800.0,5,5173.2,2,2,958,12,new car,0.2395,LOW
CASE_0424,34,2525.4,5,12091.6,1,3,1591,21,furniture equipment,0.399,LOW
CASE_0425,25,3945.71,8,5938.3,0,3,2762,12,furniture equipment,0.1254,HIGH
CASE_0426,21,2646.67,2,5974.85,0,1,2779,18,used car,0.1881,LOW
CASE_0427,29,3265.48,8,20846.8,2,1,2743,28,radio television,0.532,LOW
CASE_0428,46,2127.78,2,8732.4,2,4,1149,18,radio television,0.342,LOW
CASE_0429,20,2500.95,8,2822.95,0,1,1313,9,furniture equipment,0.0941,LOW
CASE_0430,55,1800.0,0,9639.0,2,0,1190,18,repairs,0.4462,HIGH
CASE_0431,74,11821.71,5,7413.2,0,2,3448,5,business,0.0523,LOW
CASE_0432,29,9440.0,2,61171.2,0,1,11328,24,others,0.54,HIGH
CASE_0433,36,10400.0,0,21340.8,2,0,1872,6,furniture equipment,0.171,LOW
CASE_0434,33,2858.33,2,15640.8,2,2,2058,24,repairs,0.456,LOW
CASE_0435,25,6472.73,2,6942.0,0,2,2136,9,furniture equipment,0.0894,LOW
CASE_0436,25,2473.33,2,4006.8,0,3,1484,12,radio television,0.135,HIGH
CASE_0437,23,2200.0,5,1782.0,0,3,660,6,repairs,0.0675,LOW
CASE_0438,37,1800.0,8,9781.2,2,4,1287,24,new car,0.4528,LOW
CASE_0439,65,2693.65,0,25794.4,2,1,3394,42,repairs,0.798,LOW
CASE_0440,26,1800.0,0.5,2314.2,0,2,609,12,business,0.1071,HIGH
CASE_0441,39,5233.33,8,7159.2,0,1,1884,12,new car,0.114,LOW
CASE_0442,30,2700.0,2,4374.0,0,2,1620,12,furniture equipment,0.135,LOW
CASE_0443,29,2629.0,2,14196.6,1,1,2629,20,others,0.45,LOW
CASE_0444,41,1997.22,8,2732.2,0,1,719,12,education,0.114,HIGH
CASE_0445,30,2123.33,2,13759.2,2,1,5096,48,furniture equipment,0.54,HIGH
CASE_0446,41,4607.41,8,9454.4,2,3,1244,9,education,0.171,LOW
CASE_0447,34,1800.0,0.5,6999.6,0,1,1842,36,new car,0.3241,HIGH
CASE_0448,35,7360.0,2,6955.2,0,2,2576,7,radio television,0.0788,LOW
CASE_0449,55,3236.36,8,4628.0,0,3,1424,12,furniture equipment,0.1192,LOW
CASE_0450,61,2749.09,2,9828.0,1,4,1512,15,repairs,0.2979,HIGH
CASE_0451,30,10235.19,2,42005.2,2,2,11054,36,used car,0.342,LOW
CASE_0452,29,2354.55,2,1683.5,0,2,518,6,radio television,0.0596,LOW
CASE_0453,34,4598.33,8,14898.6,0,2,2759,12,furniture equipment,0.27,LOW
CASE_0454,35,3708.33,8,10146.0,0,1,2670,24,used car,0.228,LOW
CASE_0455,31,4014.17,5,13005.9,0,2,4817,24,new car,0.27,HIGH
CASE_0456,29,3720.83,0.5,10180.2,0,0,2679,24,used car,0.228,LOW
CASE_0457,36,7100.0,2,21087.0,2,2,3905,11,new car,0.2475,LOW
CASE_0458,35,7695.45,8,11004.5,0,0,3386,12,used car,0.1192,HIGH
CASE_0459,27,1905.56,0.5,1303.4,0,2,343,6,domestic appliances,0.057,LOW
CASE_0460,32,6960.61,0.5,14930.5,0,1,4594,18,radio television,0.1787,LOW
CASE_0461,37,1800.0,2,7783.0,0,2,3620,36,furniture equipment,0.3603,LOW
CASE_0462,36,2294.67,0.5,4646.7,0,2,1721,15,new car,0.1687,LOW
CASE_0463,34,6856.82,0.5,9805.25,0,2,3017,12,furniture equipment,0.1192,LOW
CASE_0464,38,2094.44,8,5730.4,0,3,754,12,retraining,0.228,LOW
CASE_0465,34,3611.11,5,14820.0,0,1,1950,18,business,0.342,LOW
CASE_0466,63,3322.73,2,9503.0,0,0,2924,24,used car,0.2383,LOW
CASE_0467,29,2304.17,0.5,6304.2,1,1,1659,24,radio television,0.228,HIGH
CASE_0468,32,4112.5,8,47047.0,1,2,7238,48,radio television,0.9533,LOW
CASE_0469,26,1800.0,2,14925.6,1,1,2764,33,business,0.691,LOW
CASE_0470,35,5317.05,5,30413.5,1,1,4679,24,used car,0.4767,LOW
CASE_0471,22,3513.64,0.5,10049.0,0,2,3092,24,radio television,0.2383,HIGH
CASE_0472,23,2488.89,0.5,1702.4,0,2,448,6,education,0.057,HIGH
CASE_0473,28,2422.22,2,2485.2,0,1,654,9,new car,0.0855,HIGH
CASE_0474,36,6877.78,0,4704.4,0,3,1238,6,retraining,0.057,LOW
CASE_0475,33,2305.56,2,4731.0,2,1,1245,18,radio television,0.171,HIGH
CASE_0476,26,2965.71,0.5,6695.1,0,2,3114,18,furniture equipment,0.1881,HIGH
CASE_0477,24,2195.73,2,9762.2,0,2,2569,39,used car,0.3705,LOW
CASE_0478,25,7155.56,5,19577.6,0,1,5152,24,radio television,0.228,LOW
CASE_0479,39,2356.82,5,3370.25,0,3,1037,12,business,0.1192,LOW
CASE_0480,44,3284.44,8,11232.8,2,1,1478,15,furniture equipment,0.285,LOW
CASE_0481,23,5104.29,2,7681.95,2,2,3573,12,radio television,0.1254,LOW
CASE_0482,26,1800.0,0.5,4563.8,0,2,1201,24,new car,0.2113,LOW
CASE_0483,57,4024.44,8,27527.2,0,4,3622,30,furniture equipment,0.57,LOW
CASE_0484,30,1800.0,5,6240.0,1,4,960,15,furniture equipment,0.2889,LOW
CASE_0485,44,3230.56,2,4419.4,2,3,1163,12,new car,0.114,LOW
CASE_0486,47,6716.67,0,4594.2,1,2,1209,6,new car,0.057,HIGH
CASE_0487,52,5128.33,2,8307.9,0,1,3077,12,radio television,0.135,LOW
CASE_0488,62,5218.06,8,14276.6,0,0,3757,24,new car,0.228,LOW
CASE_0489,35,3867.27,2,4608.5,0,3,1418,10,new car,0.0993,LOW
CASE_0490,26,11726.67,2,9498.6,0,2,3518,6,new car,0.0675,LOW
CASE_0491,26,3223.33,8,10443.6,2,0,1934,12,radio television,0.27,LOW
CASE_0492,42,6161.48,8,44917.2,0,0,8318,27,business,0.6075,HIGH
CASE_0493,27,3534.29,2,5319.1,2,3,1237,6,radio television,0.1254,LOW
CASE_0494,38,2044.44,8,1398.4,0,3,368,6,radio television,0.057,LOW
CASE_0495,39,4822.73,2,13793.0,2,2,2122,12,new car,0.2383,LOW
CASE_0496,20,2496.67,2,8089.2,0,2,2996,24,furniture equipment,0.27,HIGH
CASE_0497,29,8364.81,0.5,34329.2,0,1,9034,36,furniture equipment,0.342,HIGH
CASE_0498,40,2201.39,5,12046.0,2,2,1585,24,furniture equipment,0.456,LOW
CASE_0499,32,2409.26,8,4943.8,0,2,1301,18,radio television,0.171,LOW
CASE_0500,28,4410.0,8,7144.2,2,2,1323,6,new car,0.135,LOW
CASE_0501,27,4337.5,0.5,11867.4,0,2,3123,24,new car,0.228,HIGH
CASE_0502,42,3051.67,8,14831.1,0,0,5493,36,used car,0.405,LOW
CASE_0503,49,2502.22,8,3040.2,0,3,1126,9,radio television,0.1013,LOW
CASE_0504,38,1800.0,0.5,9241.6,2,1,1216,24,radio television,0.4279,HIGH
CASE_0505,24,1800.0,0.5,4586.6,0,2,1207,24,new car,0.2123,HIGH
CASE_0506,27,4363.33,2,4974.2,0,3,1309,10,new car,0.095,HIGH
CASE_0507,36,3146.67,2,6372.0,2,2,2360,15,used car,0.1687,LOW
CASE_0508,34,7828.57,0,14727.5,0,3,6850,15,new car,0.1568,HIGH
CASE_0509,28,1962.5,2,5369.4,0,2,1413,24,radio television,0.228,LOW
CASE_0510,45,7340.17,8,32634.4,0,2,8588,39,used car,0.3705,LOW
CASE_0511,26,2108.33,5,2884.2,0,2,759,12,new car,0.114,HIGH
CASE_0512,32,2603.33,2,12652.2,0,0,4686,36,used car,0.405,LOW
CASE_0513,26,3582.67,5,7254.9,0,2,2687,15,business,0.1687,LOW
CASE_0514,20,1800.0,2,4446.0,1,2,585,12,radio television,0.2058,LOW
CASE_0515,54,3131.94,0.5,8569.0,0,3,2255,24,new car,0.228,LOW
CASE_0516,37,3383.33,5,4628.4,2,2,609,6,new car,0.114,LOW
CASE_0517,40,4536.67,0.5,3674.7,2,2,1361,6,new car,0.0675,LOW
CASE_0518,23,3959.44,0.5,38485.8,2,2,7127,36,furniture equipment,0.81,HIGH
CASE_0519,43,5468.18,8,3909.75,0,3,1203,6,new car,0.0596,LOW
CASE_0520,36,3888.89,8,5320.0,2,1,700,6,radio television,0.114,LOW
CASE_0521,44,6257.95,8,35795.5,2,0,5507,24,repairs,0.4767,LOW
CASE_0522,24,3544.44,2,8613.0,0,2,3190,18,radio television,0.2025,HIGH
CASE_0523,53,4044.89,2,46273.5,0,0,7119,48,furniture equipment,0.9533,HIGH
CASE_0524,23,3963.64,5,11336.0,0,2,3488,24,used car,0.2383,LOW
CASE_0525,26,2061.11,2,4229.4,0,2,1113,18,radio television,0.171,LOW
CASE_0526,30,6127.69,0.5,43016.4,0,1,7966,26,used car,0.585,LOW
CASE_0527,31,3404.44,2,5821.6,2,2,1532,15,education,0.1425,LOW
CASE_0528,42,7515.0,5,8116.2,2,2,1503,4,radio television,0.09,LOW
CASE_0529,31,2131.48,2,8747.6,0,1,2302,36,radio television,0.342,HIGH
CASE_0530,41,3009.09,0.5,2151.5,0,2,662,6,new car,0.0596,LOW
CASE_0531,32,1800.0,5,14774.5,0,1,2273,36,education,0.684,LOW
CASE_0532,28,3508.0,2,14207.4,0,2,2631,15,new car,0.3375,HIGH
CASE_0533,41,4175.0,2,5711.4,1,2,1503,12,used car,0.114,LOW
CASE_0534,26,1820.83,5,4981.8,0,3,1311,24,radio television,0.228,LOW
CASE_0535,25,4312.5,0.5,23598.0,0,2,3105,24,radio television,0.456,LOW
CASE_0536,33,2208.57,0.5,6261.3,2,1,2319,21,education,0.2363,HIGH
CASE_0537,75,7633.33,0,5221.2,0,3,1374,6,new car,0.057,LOW
CASE_0538,37,5472.73,8,11739.0,2,2,3612,18,furniture equipment,0.1787,LOW
CASE_0539,42,5390.97,8,29499.4,0,0,7763,48,new car,0.456,HIGH
CASE_0540,45,2903.81,0.5,6555.35,0,2,3049,18,furniture equipment,0.1881,LOW
CASE_0541,23,2191.43,0.5,3298.1,0,2,1534,12,radio television,0.1254,HIGH
CASE_0542,60,2822.22,8,15443.2,1,0,2032,24,new car,0.456,LOW
CASE_0543,31,7055.56,8,24130.0,0,3,6350,30,furniture equipment,0.285,HIGH
CASE_0544,34,3182.22,2,7732.8,0,2,2864,18,furniture equipment,0.2025,HIGH
CASE_0545,61,3486.11,8,9538.0,2,2,1255,12,new car,0.228,LOW
CASE_0546,43,1851.39,0,10130.8,1,2,1333,24,new car,0.456,HIGH
CASE_0547,37,2808.33,2,7683.6,2,1,2022,24,new car,0.228,LOW
CASE_0548,32,1800.0,5,5044.0,0,1,1552,24,radio television,0.2335,LOW
CASE_0549,24,1800.0,2,2378.8,0,2,626,12,radio television,0.1101,HIGH
CASE_0550,35,3690.83,5,47833.2,2,1,8858,48,used car,1.08,LOW
CASE_0551,23,2766.67,5,7569.6,2,3,996,12,repairs,0.228,LOW
CASE_0552,45,5833.33,8,4725.0,0,3,1750,6,radio television,0.0675,LOW
CASE_0553,34,2499.64,5,30095.7,0,2,6999,48,radio television,1.0033,HIGH
CASE_0554,27,5541.67,0.5,7581.0,2,2,1995,12,new car,0.114,LOW
CASE_0555,67,4440.74,5,9112.4,0,2,1199,9,education,0.171,LOW
CASE_0556,22,2218.33,0.5,3593.7,0,1,1331,12,radio television,0.135,HIGH
CASE_0557,28,3451.52,0.5,14807.0,0,2,2278,18,new car,0.3575,HIGH
CASE_0558,29,4084.08,2,21512.9,0,3,5003,21,new car,0.439,HIGH
CASE_0559,27,4036.36,5,11544.0,0,1,3552,24,furniture equipment,0.2383,HIGH
CASE_0560,31,2142.22,0.5,10411.2,2,2,1928,18,furniture equipment,0.405,HIGH
CASE_0561,49,4116.67,8,11263.2,0,1,2964,24,used car,0.228,LOW
CASE_0562,24,2147.22,5,5874.8,0,1,1546,24,radio television,0.228,HIGH
CASE_0563,29,2276.67,0.5,1844.1,1,2,683,6,radio television,0.0675,LOW
CASE_0564,37,5899.52,2,26636.35,0,1,12389,36,new car,0.3763,HIGH
CASE_0565,37,6544.44,2,35811.2,1,3,4712,24,business,0.456,LOW
CASE_0566,23,1800.0,5,10094.5,1,3,1553,24,radio television,0.4673,LOW
CASE_0567,36,2286.67,5,3704.4,0,1,1372,12,new car,0.135,HIGH
CASE_0568,34,2148.33,8,6960.6,2,3,2578,24,radio television,0.27,LOW
CASE_0569,41,2763.19,5,30240.4,0,2,3979,48,radio television,0.912,LOW
CASE_0570,31,3839.77,2,21963.5,0,1,6758,48,radio television,0.4767,HIGH
CASE_0571,23,4491.67,0.5,12289.2,0,2,3234,24,furniture equipment,0.228,HIGH
CASE_0572,38,5412.73,5,19350.5,2,1,5954,30,radio television,0.2979,LOW
CASE_0573,26,4527.5,0,14669.1,0,3,5433,24,used car,0.27,LOW
CASE_0574,22,1800.0,2,3062.8,0,2,806,15,business,0.1418,LOW
CASE_0575,27,4007.41,8,8223.2,0,1,1082,9,radio television,0.171,LOW
CASE_0576,24,3717.33,5,15055.2,2,1,2788,15,furniture equipment,0.3375,LOW
CASE_0577,27,4883.33,5,7911.0,0,2,2930,12,radio television,0.135,LOW
CASE_0578,33,2189.77,2,12525.5,2,2,1927,24,education,0.4767,LOW
CASE_0579,27,2611.11,0.5,21432.0,2,1,2820,36,new car,0.684,HIGH
CASE_0580,27,1800.0,0.5,7121.2,0,1,937,24,retraining,0.3297,LOW
CASE_0581,30,1800.0,8,6864.0,2,2,1056,18,new car,0.3178,HIGH
CASE_0582,49,4462.86,0.5,13433.2,2,2,3124,12,new car,0.2508,LOW
CASE_0583,26,5140.74,2,5274.4,0,2,1388,9,furniture equipment,0.0855,LOW
CASE_0584,33,2207.41,0.5,9059.2,0,0,2384,36,repairs,0.342,HIGH
CASE_0585,52,5925.0,8,8105.4,0,1,2133,12,new car,0.114,LOW
CASE_0586,20,1941.9,2,4383.85,0,2,2039,18,furniture equipment,0.1881,HIGH
CASE_0587,36,6220.0,2,15114.6,2,2,2799,9,new car,0.2025,LOW
CASE_0588,21,3580.56,2,4898.2,0,2,1289,12,furniture equipment,0.114,LOW
CASE_0589,47,2253.7,2,4624.6,0,2,1217,18,domestic appliances,0.171,HIGH
CASE_0590,60,5104.55,8,14599.0,2,2,2246,12,furniture equipment,0.2383,HIGH
CASE_0591,58,1800.0,5,5852.0,2,2,385,12,radio television,0.2709,LOW
CASE_0592,42,2729.17,2,14934.0,1,2,1965,24,new car,0.456,LOW
CASE_0593,36,2495.24,8,5973.6,0,4,1572,21,business,0.1995,LOW
CASE_0594,20,3088.64,2,8833.5,0,2,2718,24,new car,0.2383,HIGH
CASE_0595,40,1886.11,8,5160.4,0,2,1358,24,others,0.228,HIGH
CASE_0596,32,2660.0,0.5,2001.65,0,3,931,6,new car,0.0627,HIGH
CASE_0597,23,2002.78,5,10959.2,0,1,1442,24,new car,0.456,HIGH
CASE_0598,36,3029.29,2,27354.45,0,2,4241,24,business,0.7525,HIGH
CASE_0599,31,3083.33,5,14985.0,2,2,2775,18,new car,0.405,HIGH
CASE_0600,32,2759.29,2,8305.45,1,0,3863,24,business,0.2508,LOW
CASE_0601,45,5703.67,0.5,5007.35,0,2,2329,7,radio television,0.0732,LOW
CASE_0602,30,3400.0,2,3488.4,0,2,918,9,furniture equipment,0.0855,HIGH
CASE_0603,34,2551.39,5,6980.6,0,0,1837,24,education,0.228,HIGH
CASE_0604,28,3100.93,2,12726.2,0,1,3349,36,furniture equipment,0.342,HIGH
CASE_0605,23,4250.0,0.5,4845.0,0,2,1275,10,furniture equipment,0.095,LOW
CASE_0606,22,3927.78,2,10746.4,0,3,2828,24,furniture equipment,0.228,LOW
CASE_0607,74,5143.18,2,14709.5,2,2,4526,24,business,0.2383,LOW
CASE_0608,50,2473.15,2,10149.8,0,1,2671,36,radio television,0.342,HIGH
CASE_0609,33,3798.15,0.5,7793.8,0,2,2051,18,radio television,0.171,LOW
CASE_0610,45,2888.89,8,4940.0,0,1,1300,15,used car,0.1425,LOW
CASE_0611,22,2058.33,0,2815.8,0,3,741,12,domestic appliances,0.114,HIGH
CASE_0612,48,2125.71,8,2666.0,0,1,1240,10,new car,0.1045,HIGH
CASE_0613,29,5328.57,0.5,12756.6,0,3,3357,21,radio television,0.1995,LOW
CASE_0614,22,2594.29,2,7808.8,0,1,3632,24,used car,0.2508,LOW
CASE_0615,22,3348.15,5,6870.4,1,2,1808,18,furniture equipment,0.171,HIGH
CASE_0616,48,5085.0,2,32950.8,0,2,12204,48,business,0.54,LOW
CASE_0617,27,3052.33,2,24723.9,1,1,9157,60,radio television,0.675,LOW
CASE_0618,37,10502.86,2,23710.2,2,2,3676,6,new car,0.1881,LOW
CASE_0619,21,2294.0,2,9290.7,0,2,3441,30,furniture equipment,0.3375,HIGH
CASE_0620,49,1800.0,2,2432.0,0,2,640,12,new car,0.1126,LOW
CASE_0621,27,3478.1,5,19720.8,2,2,3652,21,business,0.4725,LOW
CASE_0622,32,2318.18,2,9945.0,2,2,1530,18,new car,0.3575,HIGH
CASE_0623,38,2718.06,2,14873.2,0,3,3914,48,business,0.456,HIGH
CASE_0624,22,5161.11,0.5,7060.4,0,1,1858,12,furniture equipment,0.114,LOW
CASE_0625,65,4814.81,2,19760.0,0,0,2600,18,radio television,0.342,HIGH
CASE_0626,35,4397.78,8,7520.2,0,2,1979,15,radio television,0.1425,LOW
CASE_0627,41,7053.33,2,5713.2,0,2,2116,6,furniture equipment,0.0675,LOW
CASE_0628,29,3193.33,5,3879.9,0,1,1437,9,new car,0.1013,HIGH
CASE_0629,36,3207.94,2,30719.2,2,3,4042,42,furniture equipment,0.798,LOW
CASE_0630,64,7299.05,8,8238.8,0,3,3832,9,education,0.0941,LOW
CASE_0631,28,3050.0,2,9882.0,0,1,3660,24,radio television,0.27,LOW
CASE_0632,44,2875.93,2,5901.4,0,1,1553,18,furniture equipment,0.171,HIGH
CASE_0633,23,3208.89,0.5,5487.2,0,3,1444,15,radio television,0.1425,LOW
CASE_0634,19,4400.0,0.5,10692.0,0,1,1980,9,furniture equipment,0.2025,HIGH
CASE_0635,25,1800.0,0.5,4403.75,0,1,1355,24,new car,0.2039,HIGH
CASE_0636,47,3869.44,8,15880.2,0,2,1393,12,education,0.342,LOW
CASE_0637,28,1911.11,5,5228.8,0,2,1376,24,radio television,0.228,LOW
CASE_0638,21,5217.67,5,84526.2,1,1,15653,60,radio television,1.35,LOW
CASE_0639,34,4147.22,0.5,5673.4,0,1,1493,12,radio television,0.114,LOW
CASE_0640,26,2837.66,5,28405.0,1,2,4370,42,radio television,0.8342,HIGH
CASE_0641,27,1800.0,0,2850.0,0,2,750,18,education,0.1319,HIGH
CASE_0642,38,2906.67,8,9940.8,0,1,1308,15,repairs,0.285,LOW
CASE_0643,40,8405.45,2,15024.75,0,3,4623,15,education,0.149,HIGH
CASE_0644,33,2570.83,5,14067.6,2,1,1851,24,radio television,0.456,LOW
CASE_0645,32,3481.48,5,14288.0,2,2,1880,18,radio television,0.342,LOW
CASE_0646,27,7388.89,0.5,60648.0,1,2,7980,36,business,0.684,HIGH
